dae,demand,rrp,demand_pos_RRP,RRP_positive,demand_neg_RRP,RRP_negative,frac_at_neg_RRP,min_temperature,max_temperature,solar_exposure,rainfall,school_day,holiday,year,month,day,weekday,month_sin,month_cos,fr_RRP
,133103.37,1612.24565,133103.37,1612.24565,0.0,0.0,0.0,7.9,18.7,7.4,0.0,1,0,,,,,,,16.1224565
,127900.235,1407.927163,127900.235,1407.927163,0.0,0.0,0.0,13.1,19.7,8.4,0.0,1,0,,,,,,,14.07927163
,132338.94,1607.903144,132338.94,1607.903144,0.0,0.0,0.0,9.5,15.8,6.6,0.0,1,0,,,,,,,16.07903144
,114669.79,1027.684151,114669.79,1027.684151,0.0,0.0,0.0,11.0,17.3,8.0,0.0,1,0,,,,,,,10.27684151
,113261.26,1001.997924,113261.26,1001.997924,0.0,0.0,0.0,12.3,16.8,4.9,0.0,1,0,,,,,,,10.01997924
,140919.995,1992.272432,140919.995,1992.272432,0.0,0.0,0.0,5.2,12.2,8.1,8.2,1,0,,,,,,,19.92272432
,148534.505,3229.233001,148534.505,3229.233001,0.0,0.0,0.0,7.1,11.4,4.6,4.2,1,0,,,,,,,32.29233001
,146902.95,2727.85678,146902.95,2727.85678,0.0,0.0,0.0,8.1,13.6,8.2,0.8,1,0,,,,,,,27.2785678
,147155.265,1783.062865,147155.265,1783.062865,0.0,0.0,0.0,4.4,11.3,5.5,0.0,1,0,,,,,,,17.83062865
,142625.035,2048.294773,142625.035,2048.294773,0.0,0.0,0.0,7.0,15.0,7.0,4.2,1,0,,,,,,,20.48294773
,120128.295,1628.283663,120128.295,1628.283663,0.0,0.0,0.0,9.2,16.6,6.4,0.2,1,0,,,,,,,16.28283663
,109609.685,1261.371763,109609.685,1261.371763,0.0,0.0,0.0,11.2,14.5,6.9,0.0,1,0,,,,,,,12.61371763
,110715.815,1314.094489,110715.815,1314.094489,0.0,0.0,0.0,11.1,18.5,8.2,0.0,1,1,,,,,,,13.14094489
,132854.135,1980.735143,132854.135,1980.735143,0.0,0.0,0.0,10.3,13.5,8.6,4.0,1,0,,,,,,,19.80735143
,144125.525,2145.383116,144125.525,2145.383116,0.0,0.0,0.0,7.5,13.4,7.1,0.0,1,0,,,,,,,21.45383116
,143465.445,2022.144695,143465.445,2022.144695,0.0,0.0,0.0,5.7,14.0,8.3,,1,0,,,,,,,20.22144695
,145005.62,2025.249164,145005.62,2025.249164,0.0,0.0,0.0,5.2,13.1,6.9,0.0,1,0,,,,,,,20.25249164
,123754.55,1611.410331,123754.55,1611.410331,0.0,0.0,0.0,6.0,18.2,8.0,0.0,1,0,,,,,,,16.11410331
,119125.62,1704.721935,119125.62,1704.721935,0.0,0.0,0.0,5.8,17.4,8.0,0.0,1,0,,,,,,,17.04721935
,136054.145,1942.792454,136054.145,1942.792454,0.0,0.0,0.0,7.1,16.9,6.6,0.0,1,0,,,,,,,19.42792454
,139073.785,1993.065106,139073.785,1993.065106,0.0,0.0,0.0,9.5,16.1,3.3,5.0,1,0,,,,,,,19.93065106
,134290.46,2119.080423,134290.46,2119.080423,0.0,0.0,0.0,11.7,13.8,4.7,0.0,1,0,,,,,,,21.19080423
,137073.775,2020.846342,137073.775,2020.846342,0.0,0.0,0.0,10.7,12.7,4.2,1.0,1,0,,,,,,,20.20846342
,139781.245,2079.811006,139781.245,2079.811006,0.0,0.0,0.0,7.0,12.4,7.9,0.2,1,0,,,,,,,20.79811006
,129576.36,2217.220004,129576.36,2217.220004,0.0,0.0,0.0,4.1,11.6,7.1,0.0,1,0,,,,,,,22.17220004
,124910.57,1829.033932,124910.57,1829.033932,0.0,0.0,0.0,2.2,12.9,8.6,0.0,1,0,,,,,,,18.29033932
,140431.36,1644.278992,140431.36,1644.278992,0.0,0.0,0.0,3.6,14.1,6.2,0.0,1,0,,,,,,,16.44278992
,133171.4,1631.343423,133171.4,1631.343423,0.0,0.0,0.0,9.6,17.6,5.8,0.0,1,0,,,,,,,16.31343423
